company,year,metric,value,unit,source,source_detail,extraction_method,reliability,comparability,certainty,is_default,quality_flag,notes
AFV Acciaierie Beltrame SpA,2021,emissions_mt_co2,0.076,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2022,production_mt,0.814,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2022,emissions_mt_co2,0.065,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2023,production_mt,0.797,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2023,emissions_mt_co2,0.064,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2024,production_mt,0.752,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2024,emissions_mt_co2,0.06,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2025,production_mt,0.614,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AFV Acciaierie Beltrame SpA,2025,emissions_mt_co2,0.049,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AG Siderurgica Balboa SA,2021,production_mt,1.001,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
AG Siderurgica Balboa SA,2021,emissions_mt_co2,0.08,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
AG Siderurgica Balboa SA,2022,production_mt,0.801,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
AG Siderurgica Balboa SA,2022,emissions_mt_co2,0.064,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
AG Siderurgica Balboa SA,2023,production_mt,0.714,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AG Siderurgica Balboa SA,2023,emissions_mt_co2,0.057,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AG Siderurgica Balboa SA,2024,production_mt,0.748,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AG Siderurgica Balboa SA,2024,emissions_mt_co2,0.06,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AG Siderurgica Balboa SA,2025,production_mt,0.727,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AG Siderurgica Balboa SA,2025,emissions_mt_co2,0.058,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
AG der Dillinger Hüttenwerke AG,2021,production_mt,1.957,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2021,emissions_mt_co2,3.719,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2022,production_mt,2.004,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2022,emissions_mt_co2,3.808,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2023,production_mt,1.933,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2023,emissions_mt_co2,3.672,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2024,production_mt,2.021,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2024,emissions_mt_co2,3.84,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2025,production_mt,1.276,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
AG der Dillinger Hüttenwerke AG,2025,emissions_mt_co2,2.424,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
ALPA - Aciéries et Laminoirs de Paris SAS,2021,production_mt,0.414,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2021,emissions_mt_co2,0.033,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2022,production_mt,0.376,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2022,emissions_mt_co2,0.03,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2023,production_mt,0.286,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2023,emissions_mt_co2,0.023,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2024,production_mt,0.334,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2024,emissions_mt_co2,0.027,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2025,production_mt,0.334,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
ALPA - Aciéries et Laminoirs de Paris SAS,2025,emissions_mt_co2,0.027,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2021,production_mt,1.409,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2021,emissions_mt_co2,0.268,Mt CO2e,climate_trace,"1 facilities, intensity=0.19",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2022,production_mt,1.179,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2022,emissions_mt_co2,0.224,Mt CO2e,climate_trace,"1 facilities, intensity=0.19",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2023,production_mt,1.214,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2023,emissions_mt_co2,0.231,Mt CO2e,climate_trace,"1 facilities, intensity=0.19",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2024,production_mt,1.118,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2024,emissions_mt_co2,0.213,Mt CO2e,climate_trace,"1 facilities, intensity=0.19",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2025,production_mt,0.796,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abinski Elektrometallurgicheski Zavod LLC,2025,emissions_mt_co2,0.152,Mt CO2e,climate_trace,"1 facilities, intensity=0.19",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abul Khair Steel Ltd,2021,production_mt,0.855,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abul Khair Steel Ltd,2021,emissions_mt_co2,0.231,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abul Khair Steel Ltd,2022,production_mt,0.846,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abul Khair Steel Ltd,2022,emissions_mt_co2,0.228,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Abul Khair Steel Ltd,2023,production_mt,0.853,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abul Khair Steel Ltd,2023,emissions_mt_co2,0.23,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abul Khair Steel Ltd,2024,production_mt,0.84,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abul Khair Steel Ltd,2024,emissions_mt_co2,0.227,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abul Khair Steel Ltd,2025,production_mt,0.684,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Abul Khair Steel Ltd,2025,emissions_mt_co2,0.185,Mt CO2e,climate_trace,"1 facilities, intensity=0.27",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciai Speciali Terni SpA,2021,production_mt,1.15,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciai Speciali Terni SpA,2021,emissions_mt_co2,0.208,Mt CO2e,climate_trace,"1 facilities, intensity=0.18",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciai Speciali Terni SpA,2022,production_mt,0.983,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciai Speciali Terni SpA,2022,emissions_mt_co2,0.178,Mt CO2e,climate_trace,"1 facilities, intensity=0.18",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciai Speciali Terni SpA,2023,production_mt,0.963,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciai Speciali Terni SpA,2023,emissions_mt_co2,0.175,Mt CO2e,climate_trace,"1 facilities, intensity=0.18",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciai Speciali Terni SpA,2024,production_mt,0.909,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciai Speciali Terni SpA,2024,emissions_mt_co2,0.165,Mt CO2e,climate_trace,"1 facilities, intensity=0.18",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciai Speciali Terni SpA,2025,production_mt,0.742,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciai Speciali Terni SpA,2025,emissions_mt_co2,0.134,Mt CO2e,climate_trace,"1 facilities, intensity=0.18",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaieria Arvedi SpA,2021,production_mt,3.41,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaieria Arvedi SpA,2021,emissions_mt_co2,1.44,Mt CO2e,climate_trace,"1 facilities, intensity=0.42",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaieria Arvedi SpA,2022,production_mt,2.916,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaieria Arvedi SpA,2022,emissions_mt_co2,1.231,Mt CO2e,climate_trace,"1 facilities, intensity=0.42",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaieria Arvedi SpA,2023,production_mt,2.856,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaieria Arvedi SpA,2023,emissions_mt_co2,1.206,Mt CO2e,climate_trace,"1 facilities, intensity=0.42",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaieria Arvedi SpA,2024,production_mt,2.694,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaieria Arvedi SpA,2024,emissions_mt_co2,1.138,Mt CO2e,climate_trace,"1 facilities, intensity=0.42",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaieria Arvedi SpA,2025,production_mt,2.199,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaieria Arvedi SpA,2025,emissions_mt_co2,0.929,Mt CO2e,climate_trace,"1 facilities, intensity=0.42",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2021,production_mt,0.872,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2021,emissions_mt_co2,0.07,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2022,production_mt,0.746,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2022,emissions_mt_co2,0.06,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2023,production_mt,0.731,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2023,emissions_mt_co2,0.058,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2024,production_mt,0.689,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2024,emissions_mt_co2,0.055,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2025,production_mt,0.563,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Bertoli Safau SpA,2025,emissions_mt_co2,0.045,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Venete SpA,2021,production_mt,1.38,Mt,climate_trace,"3 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Venete SpA,2021,emissions_mt_co2,0.237,Mt CO2e,climate_trace,"3 facilities, intensity=0.17",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Venete SpA,2022,production_mt,1.18,Mt,climate_trace,"3 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Venete SpA,2022,emissions_mt_co2,0.203,Mt CO2e,climate_trace,"3 facilities, intensity=0.17",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie Venete SpA,2023,production_mt,1.156,Mt,climate_trace,"3 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Venete SpA,2023,emissions_mt_co2,0.199,Mt CO2e,climate_trace,"3 facilities, intensity=0.17",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Venete SpA,2024,production_mt,1.09,Mt,climate_trace,"3 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Venete SpA,2024,emissions_mt_co2,0.188,Mt CO2e,climate_trace,"3 facilities, intensity=0.17",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Venete SpA,2025,production_mt,0.89,Mt,climate_trace,"3 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie Venete SpA,2025,emissions_mt_co2,0.153,Mt CO2e,climate_trace,"3 facilities, intensity=0.17",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie d'italia SpA,2021,production_mt,5.842,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2021,emissions_mt_co2,11.1,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2022,production_mt,5.546,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2022,emissions_mt_co2,10.537,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.55,0.8,0.7,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2023,production_mt,5.489,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2023,emissions_mt_co2,10.43,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2024,production_mt,5.323,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2024,emissions_mt_co2,10.113,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2025,production_mt,5.192,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
Acciaierie d'italia SpA,2025,emissions_mt_co2,9.864,Mt CO2e,climate_trace,"1 facilities, intensity=1.90",satellite_model,0.6,0.8,0.72,True,,Facility types: BF/BOF
Acciaierie di Calvisano SpA,2021,production_mt,0.476,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2021,emissions_mt_co2,0.038,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2022,production_mt,0.407,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2022,emissions_mt_co2,0.033,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2023,production_mt,0.399,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2023,emissions_mt_co2,0.032,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2024,production_mt,0.376,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2024,emissions_mt_co2,0.03,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2025,production_mt,0.307,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Calvisano SpA,2025,emissions_mt_co2,0.025,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2021,production_mt,0.396,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2021,emissions_mt_co2,0.032,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2022,production_mt,0.339,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2022,emissions_mt_co2,0.027,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2023,production_mt,0.332,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2023,emissions_mt_co2,0.027,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2024,production_mt,0.313,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2024,emissions_mt_co2,0.025,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2025,production_mt,0.256,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Sicilia SpA,2025,emissions_mt_co2,0.02,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Verona SpA,2021,production_mt,0.991,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Verona SpA,2021,emissions_mt_co2,0.079,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Verona SpA,2022,production_mt,0.848,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Verona SpA,2022,emissions_mt_co2,0.068,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.55,0.8,0.7,True,,Facility types: EAF
Acciaierie di Verona SpA,2023,production_mt,0.83,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Verona SpA,2023,emissions_mt_co2,0.066,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Verona SpA,2024,production_mt,0.783,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Verona SpA,2024,emissions_mt_co2,0.063,Mt CO2e,climate_trace,"1 facilities, intensity=0.08",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
Acciaierie di Verona SpA,2025,production_mt,0.639,Mt,climate_trace,"1 facilities, 1 entities",satellite_model,0.6,0.8,0.72,True,,Facility types: EAF
